,Unnamed: 0,자치구,택시운송업 사업체수,택시운송업 종사자수,한식 일반 음식점업 사업체수,한식 일반 음식점업 종사자수,용달 화물자동차 운송업 사업체수,용달 화물자동차 운송업 종사자수,부동산 중개 및 대리업 사업체수,부동산 중개 및 대리업 종사자수,두발미용업 사업체수,두발미용업 종사자수,커피전문점 사업체수,커피전문점 종사자수,남녀용 겉옷 및 셔츠 도매업 사업체수,남녀용 겉옷 및 셔츠 도매업 종사자수,기타주점업 사업체수,기타주점업 종사자수,일반 교과 학원 사업체수,일반 교과 학원 종사자수,한식 육류요리 전문점 사업체수,한식 육류요리 전문점 종사자수,사업체총수,종사자총수
0,2,종로구,215,215,1548,5912,618,646,549,889,261,480,948,3613,400,962,537,1413,110,382,437,1982,5623,16494
1,20,중구,230,235,1588,6414,300,333,576,1152,339,816,869,3542,10810,24248,381,982,57,175,443,2121,15593,40018
2,36,용산구,416,523,857,2987,455,466,791,1214,366,777,634,2076,54,317,487,1332,104,573,300,1184,4464,11449
3,53,성동구,1200,2527,956,2785,1072,1161,801,1453,489,851,547,1859,149,1572,285,621,258,1494,400,1545,6157,15868
4,71,광진구,1119,1744,963,2861,968,985,871,1313,746,1337,590,1887,89,687,633,1577,413,1646,467,1678,6859,15715
5,87,동대문구,1546,2093,1236,3566,1431,1456,842,1208,611,891,494,1472,211,976,499,1082,302,984,442,1509,7614,15237
6,102,중랑구,3634,6262,991,2479,1804,1877,738,1104,790,1108,381,1037,63,284,535,1000,288,1045,499,1504,9723,17700
7,119,성북구,1835,2643,973,2822,1312,1335,846,1175,739,1245,457,1384,85,454,512,1030,464,1755,365,1334,7588,15177
8,140,강북구,1713,2589,965,2663,1024,1030,589,867,673,997,358,1095,40,94,580,1275,220,740,362,1176,6524,12526
9,154,도봉구,2993,5783,672,2009,1571,1574,515,794,600,847,288,837,22,43,258,477,351,1162,302,943,7572,14469
10,169,노원구,4114,6074,866,2650,1730,1736,714,1053,782,1353,535,1748,30,123,355,844,735,3281,428,1557,10289,20419
11,189,은평구,3108,4430,881,2585,1340,1349,1134,1614,947,1443,457,1296,26,74,484,925,551,1793,476,1639,9404,17148
12,206,서대문구,1747,2677,863,2694,802,808,667,956,598,1185,370,1323,22,68,497,1127,361,1268,311,1088,6238,13194
13,221,마포구,1165,1838,1411,4705,770,829,1149,1903,896,2042,1369,4475,96,1209,1011,2559,469,1855,701,2928,9037,24343
14,238,양천구,2735,4942,831,2800,1286,1293,922,1364,838,1428,402,1375,25,52,415,851,1284,5804,281,1111,9019,21020
15,257,강서구,3735,6922,1325,4584,1799,1862,1311,2352,1015,1751,690,2530,78,700,794,1709,672,2347,581,2274,12000,27031
16,278,구로구,2757,3817,1048,3215,1318,1351,789,1213,729,1134,421,1384,114,923,576,1165,336,1111,428,1496,8516,16809
17,294,금천구,1100,2598,867,2619,935,997,671,1381,488,715,383,1215,200,2575,391,685,153,487,300,1042,5488,14314
18,305,영등포구,1349,2397,1738,6476,1281,1429,986,1566,673,1261,838,3295,76,1220,636,1489,288,1082,494,2151,8359,22366
19,324,동작구,1033,1115,765,2322,830,844,883,1483,651,1105,486,1628,20,199,439,955,407,1463,331,1177,5845,12291
20,340,관악구,1286,2027,1226,3689,1579,1600,1010,2136,895,1604,581,2049,31,190,658,1672,354,1230,422,1628,8042,17825
21,362,서초구,417,903,1564,6712,386,411,1457,2758,676,1832,1012,3897,157,1563,446,1255,812,3812,445,2338,7372,25481
22,381,강남구,1796,2517,2415,11486,445,487,2337,6508,1241,6255,1624,7273,384,8320,713,2528,1426,9020,827,5008,13208,59402
23,404,송파구,2638,4850,1575,5760,1910,1931,1677,3190,1137,2328,975,3372,147,2830,628,1469,876,4160,639,2781,12202,32671
24,432,강동구,3295,4980,1101,3388,1528,1566,1188,1990,900,1429,546,1660,59,1433,589,1349,620,2104,428,1459,10254,21358
